english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Could not connect to the helper.	Keine Verbindung zum Helper.	Connexion au helper impossible.	헬퍼에 연결할 수 없습니다.	No se pudo conectar con el helper.	Не удалось подключиться к помощнику.	Δεν ήταν δυνατή η σύνδεση με τον helper.	无法连接到 helper。	無法連線到 helper。	Impossibile connettersi all'helper.	Não foi possível conectar ao helper.	ヘルパーに接続できませんでした。	Nie udało się połączyć z helperem.
The helper did not respond in time.	Der Helper hat nicht rechtzeitig geantwortet.	Le helper n'a pas répondu à temps.	헬퍼가 제때 응답하지 않았습니다.	El helper no respondió a tiempo.	Помощник не ответил вовремя.	Ο helper δεν απάντησε εγκαίρως.	helper 没有及时响应。	helper 沒有及時回應。	L'helper non ha risposto in tempo.	O helper não respondeu a tempo.	ヘルパーが時間内に応答しませんでした。	Helper nie odpowiedział na czas.
Disabling…	Wird deaktiviert…	Désactivation…	비활성화 중…	Desactivando…	Отключение…	Απενεργοποίηση…	正在停用…	正在停用…	Disattivazione…	Desativando…	無効化中…	Wyłączanie…
Disabled.	Deaktiviert.	Désactivé.	비활성화됨.	Desactivado.	Отключено.	Ανενεργό.	已停用。	已停用。	Disattivato.	Desativado.	無効です。	Wyłączono.
Enabling…	Wird aktiviert…	Activation…	활성화 중…	Activando…	Включение…	Ενεργοποίηση…	正在启用…	正在啟用…	Attivazione…	Ativando…	有効化中…	Włączanie…
Enabled and verified ({0}).	Aktiviert und geprüft ({0}).	Activé et vérifié ({0}).	활성화 및 확인됨({0}).	Activado y verificado ({0}).	Включено и проверено ({0}).	Ενεργοποιήθηκε και επαληθεύτηκε ({0}).	已启用并校验 ({0})。	已啟用並驗證 ({0})。	Attivato e verificato ({0}).	Ativado e verificado ({0}).	有効になり確認しました ({0})。	Włączono i zweryfikowano ({0}).
virtual pad	virtuelles Gamepad	manette virtuelle	가상 패드	mando virtual	виртуальный пад	εικονικό χειριστήριο	虚拟手柄	虛擬控制器	pad virtuale	controle virtual	仮想パッド	wirtualny pad
Hides the physical gamepad so games see only the virtual controller.	Versteckt das physische Gamepad, damit Spiele nur den virtuellen Controller sehen.	Masque la manette physique pour que les jeux ne voient que la manette virtuelle.	게임이 가상 컨트롤러만 보도록 실제 게임패드를 숨깁니다.	Oculta el mando físico para que los juegos solo vean el mando virtual.	Скрывает физический геймпад, чтобы игры видели только виртуальный контроллер.	Κρύβει το φυσικό χειριστήριο ώστε τα παιχνίδια να βλέπουν μόνο το εικονικό.	隐藏物理手柄，让游戏只看到虚拟手柄。	隱藏實體控制器，讓遊戲只看到虛擬控制器。	Nasconde il gamepad fisico così i giochi vedono solo il controller virtuale.	Oculta o controle físico para que os jogos vejam só o controle virtual.	物理ゲームパッドを隠し、ゲームからは仮想コントローラーだけが見えるようにします。	Ukrywa fizyczny pad, aby gry widziały tylko wirtualny kontroler.
Take HidHide_x.x.x.x_x64.exe.	Nimm HidHide_x.x.x.x_x64.exe.	Prenez HidHide_x.x.x.x_x64.exe.	HidHide_x.x.x.x_x64.exe를 받으세요.	Toma HidHide_x.x.x.x_x64.exe.	Возьмите HidHide_x.x.x.x_x64.exe.	Πάρτε το HidHide_x.x.x.x_x64.exe.	选择 HidHide_x.x.x.x_x64.exe。	選擇 HidHide_x.x.x.x_x64.exe。	Prendi HidHide_x.x.x.x_x64.exe.	Pegue HidHide_x.x.x.x_x64.exe.	HidHide_x.x.x.x_x64.exe を選んでください。	Weź HidHide_x.x.x.x_x64.exe.
Provides the virtual controller itself (the VIIPER backend).	Stellt den virtuellen Controller selbst bereit (das VIIPER-Backend).	Fournit la manette virtuelle elle-même (le backend VIIPER).	가상 컨트롤러 자체를 제공합니다(VIIPER 백엔드).	Proporciona el propio mando virtual (el backend VIIPER).	Обеспечивает сам виртуальный контроллер (бэкенд VIIPER).	Παρέχει το ίδιο το εικονικό χειριστήριο (το backend VIIPER).	提供虚拟手柄本身 (VIIPER 后端)。	提供虛擬控制器本身 (VIIPER 後端)。	Fornisce il controller virtuale stesso (il backend VIIPER).	Fornece o próprio controle virtual (o backend VIIPER).	仮想コントローラー本体 (VIIPER バックエンド) を提供します。	Zapewnia sam wirtualny kontroler (backend VIIPER).
Take USBip-0.9.8.0-x64.exe from this page. The link opens version 0.9.8.0 deliberately — it is the version ClawTweaks supports.	Nimm USBip-0.9.8.0-x64.exe von dieser Seite. Der Link öffnet absichtlich Version 0.9.8.0 — das ist die Version, die ClawTweaks unterstützt.	Prenez USBip-0.9.8.0-x64.exe sur cette page. Le lien ouvre volontairement la version 0.9.8.0 — c'est celle que ClawTweaks prend en charge.	이 페이지에서 USBip-0.9.8.0-x64.exe를 받으세요. 링크는 의도적으로 0.9.8.0 버전을 엽니다 — ClawTweaks가 지원하는 버전입니다.	Toma USBip-0.9.8.0-x64.exe de esta página. El enlace abre a propósito la versión 0.9.8.0 — es la que ClawTweaks admite.	Возьмите USBip-0.9.8.0-x64.exe с этой страницы. Ссылка намеренно открывает версию 0.9.8.0 — именно её поддерживает ClawTweaks.	Πάρτε το USBip-0.9.8.0-x64.exe από αυτή τη σελίδα. Ο σύνδεσμος ανοίγει σκόπιμα την έκδοση 0.9.8.0 — είναι η έκδοση που υποστηρίζει το ClawTweaks.	从这个页面选择 USBip-0.9.8.0-x64.exe。链接特意打开 0.9.8.0 — 这是 ClawTweaks 支持的版本。	從這個頁面選擇 USBip-0.9.8.0-x64.exe。連結特意開啟 0.9.8.0 — 這是 ClawTweaks 支援的版本。	Prendi USBip-0.9.8.0-x64.exe da questa pagina. Il link apre apposta la versione 0.9.8.0 — è quella supportata da ClawTweaks.	Pegue USBip-0.9.8.0-x64.exe nesta página. O link abre a versão 0.9.8.0 de propósito — é a versão que o ClawTweaks suporta.	このページから USBip-0.9.8.0-x64.exe を選んでください。リンクは意図的に 0.9.8.0 を開きます — ClawTweaks が対応するバージョンです。	Weź USBip-0.9.8.0-x64.exe z tej strony. Link celowo otwiera wersję 0.9.8.0 — to wersja obsługiwana przez ClawTweaks.
Do not download the ARM version, and do not take an older usbip release: below 0.9.8.0 the device blue-screens while the virtual controller runs.	Nicht die ARM-Version und keine ältere usbip-Version nehmen: unter 0.9.8.0 stürzt das Gerät mit Bluescreen ab, sobald der virtuelle Controller läuft.	Ne téléchargez pas la version ARM ni une version usbip plus ancienne : sous 0.9.8.0 l'appareil plante en écran bleu dès que la manette virtuelle tourne.	ARM 버전이나 이전 usbip 릴리스를 받지 마세요: 0.9.8.0 미만에서는 가상 컨트롤러 실행 중 블루스크린이 발생합니다.	No descargues la versión ARM ni una versión anterior de usbip: por debajo de 0.9.8.0 el equipo da pantalla azul mientras corre el mando virtual.	Не скачивайте ARM-версию и не берите старый релиз usbip: ниже 0.9.8.0 устройство уходит в синий экран при работе виртуального контроллера.	Μην κατεβάσετε την έκδοση ARM και μην πάρετε παλιότερη έκδοση usbip: κάτω από 0.9.8.0 η συσκευή κάνει μπλε οθόνη όσο τρέχει το εικονικό χειριστήριο.	不要下载 ARM 版本，也不要用更旧的 usbip：低于 0.9.8.0 时，虚拟手柄运行中设备会蓝屏。	不要下載 ARM 版本，也不要用更舊的 usbip：低於 0.9.8.0 時，虛擬控制器執行中裝置會藍幕。	Non scaricare la versione ARM né una release usbip più vecchia: sotto la 0.9.8.0 il dispositivo va in schermata blu mentre il controller virtuale è attivo.	Não baixe a versão ARM nem uma release mais antiga do usbip: abaixo de 0.9.8.0 o dispositivo dá tela azul enquanto o controle virtual roda.	ARM 版をダウンロードせず、古い usbip も使わないでください。0.9.8.0 未満では仮想コントローラーの動作中にブルースクリーンになります。	Nie pobieraj wersji ARM ani starszego wydania usbip: poniżej 0.9.8.0 urządzenie pokazuje niebieski ekran, gdy działa wirtualny kontroler.
Applies the per-game FPS cap and draws the on-screen display.	Setzt das FPS-Limit pro Spiel um und zeichnet das On-Screen-Display.	Applique la limite de FPS par jeu et dessine l'affichage à l'écran.	게임별 FPS 제한을 적용하고 온스크린 디스플레이를 그립니다.	Aplica el límite de FPS por juego y dibuja el OSD.	Применяет лимит FPS для игры и рисует экранный оверлей.	Εφαρμόζει το όριο FPS ανά παιχνίδι και σχεδιάζει την εμφάνιση στην οθόνη.	应用每个游戏的帧率限制并绘制屏幕显示。	套用每款遊戲的幀率限制並繪製螢幕顯示。	Applica il limite FPS per gioco e disegna l'overlay.	Aplica o limite de FPS por jogo e desenha o overlay na tela.	ゲームごとの FPS 上限を適用し、画面表示を描画します。	Stosuje limit FPS per gra i rysuje nakładkę ekranową.
Take RivaTuner Statistics Server.	Nimm RivaTuner Statistics Server.	Prenez RivaTuner Statistics Server.	RivaTuner Statistics Server를 받으세요.	Toma RivaTuner Statistics Server.	Возьмите RivaTuner Statistics Server.	Πάρτε το RivaTuner Statistics Server.	选择 RivaTuner Statistics Server。	選擇 RivaTuner Statistics Server。	Prendi RivaTuner Statistics Server.	Pegue o RivaTuner Statistics Server.	RivaTuner Statistics Server を選んでください。	Weź RivaTuner Statistics Server.
Reads the CPU sensors ClawTweaks shows in the widget.	Liest die CPU-Sensoren, die ClawTweaks im Widget anzeigt.	Lit les capteurs CPU que ClawTweaks affiche dans le widget.	ClawTweaks가 위젯에 표시하는 CPU 센서를 읽습니다.	Lee los sensores de CPU que ClawTweaks muestra en el widget.	Читает датчики ЦП, которые ClawTweaks показывает в виджете.	Διαβάζει τους αισθητήρες CPU που δείχνει το ClawTweaks στο widget.	读取 ClawTweaks 在小组件中显示的 CPU 传感器。	讀取 ClawTweaks 在小工具中顯示的 CPU 感測器。	Legge i sensori CPU che ClawTweaks mostra nel widget.	Lê os sensores da CPU que o ClawTweaks mostra no widget.	ClawTweaks がウィジェットに表示する CPU センサーを読み取ります。	Odczytuje czujniki CPU, które ClawTweaks pokazuje w widżecie.
Take PawnIO Setup.	Nimm PawnIO Setup.	Prenez PawnIO Setup.	PawnIO Setup을 받으세요.	Toma PawnIO Setup.	Возьмите PawnIO Setup.	Πάρτε το PawnIO Setup.	选择 PawnIO Setup。	選擇 PawnIO Setup。	Prendi PawnIO Setup.	Pegue o PawnIO Setup.	PawnIO Setup を選びます。	Weź PawnIO Setup.
This ClawTweaks Center build is outdated. Please download the latest build.	Dieser ClawTweaks-Center-Build ist veraltet. Bitte lade den neuesten Build herunter.	Cette version de ClawTweaks Center est obsolète. Téléchargez la dernière version.	이 ClawTweaks Center 빌드는 오래되었습니다. 최신 빌드를 내려받으세요.	Esta versión de ClawTweaks Center está desactualizada. Descarga la última.	Эта сборка ClawTweaks Center устарела. Скачайте последнюю сборку.	Αυτή η έκδοση του ClawTweaks Center είναι παρωχημένη. Κατεβάστε τη νεότερη.	这个 ClawTweaks Center 版本已过时。请下载最新版本。	這個 ClawTweaks Center 版本已過時。請下載最新版本。	Questa build di ClawTweaks Center è obsoleta. Scarica la build più recente.	Este build do ClawTweaks Center está desatualizado. Baixe o build mais recente.	この ClawTweaks Center は古いビルドです。最新のビルドをダウンロードしてください。	Ta wersja ClawTweaks Center jest nieaktualna. Pobierz najnowszą wersję.
{0} (running {1}, needs {2}+)	{0} (läuft {1}, braucht {2}+)	{0} (en cours {1}, requis {2}+)	{0} (실행 중 {1}, 필요 {2}+)	{0} (en uso {1}, necesita {2}+)	{0} (стоит {1}, нужно {2}+)	{0} (τρέχει {1}, χρειάζεται {2}+)	{0} (当前 {1}，需要 {2}+)	{0} (目前 {1}，需要 {2}+)	{0} (in uso {1}, serve {2}+)	{0} (em uso {1}, precisa de {2}+)	{0} ({1} が入っています。{2}+ が必要)	{0} (masz {1}, wymaga {2}+)
Test build	Testbuild	Build de test	테스트 빌드	Build de prueba	Тестовая сборка	Δοκιμαστική	测试版	測試版	Build di test	Build de teste	テストビルド	Wersja testowa
Release		Version	정식 버전	Versión	Релиз		正式版	正式版			リリース	Wydanie
Nightly			나이틀리									
BROKEN: leftover registry entries but no driver binary — reinstall and reboot	DEFEKT: Registry-Reste ohne Treiberdatei — neu installieren und neu starten	CASSÉ : restes de registre sans binaire de pilote — réinstallez et redémarrez	손상됨: 레지스트리 항목만 남고 드라이버 파일이 없습니다 — 다시 설치하고 재부팅하세요	ROTO: quedan entradas de registro sin binario del controlador — reinstala y reinicia	СЛОМАНО: остатки в реестре, но нет файла драйвера — переустановите и перезагрузите	ΧΑΛΑΣΜΕΝΟ: υπολείμματα στο μητρώο αλλά κανένα αρχείο οδηγού — εγκαταστήστε ξανά και επανεκκινήστε	已损坏：注册表残留但没有驱动文件 — 请重装并重启	已損壞：登錄檔殘留但沒有驅動程式檔案 — 請重裝並重新啟動	GUASTO: voci di registro residue ma nessun binario del driver — reinstalla e riavvia	QUEBRADO: restos no registro, mas sem o binário do driver — reinstale e reinicie	壊れています: レジストリの残骸だけでドライバー本体がありません — 入れ直して再起動してください	USZKODZONE: resztki w rejestrze, ale brak pliku sterownika — zainstaluj ponownie i zrestartuj
BROKEN: usbip's files are installed but its driver is not registered — the installer's driver step (devnode.exe) failed. The usual cause is the -arm64 download, which the release page lists above the x64 one. Uninstall usbip, re-run the installer whose name ends in -x64.exe, and reboot.	DEFEKT: usbips Dateien sind installiert, aber der Treiber ist nicht registriert — der Treiberschritt des Installers (devnode.exe) ist fehlgeschlagen. Übliche Ursache ist der -arm64-Download, den die Release-Seite über dem x64 listet. usbip deinstallieren, den Installer mit -x64.exe am Ende erneut ausführen und neu starten.	CASSÉ : les fichiers d'usbip sont installés mais son pilote n'est pas enregistré — l'étape pilote de l'installateur (devnode.exe) a échoué. La cause habituelle est le téléchargement -arm64, listé au-dessus du x64 sur la page de release. Désinstallez usbip, relancez l'installateur dont le nom finit par -x64.exe, puis redémarrez.	손상됨: usbip 파일은 설치되었지만 드라이버가 등록되지 않았습니다 — 설치 프로그램의 드라이버 단계(devnode.exe)가 실패했습니다. 흔한 원인은 릴리스 페이지에서 x64 위에 표시되는 -arm64 다운로드입니다. usbip을 제거하고 이름이 -x64.exe로 끝나는 설치 프로그램을 다시 실행한 뒤 재부팅하세요.	ROTO: los archivos de usbip están instalados pero su controlador no está registrado — el paso del controlador del instalador (devnode.exe) falló. La causa habitual es la descarga -arm64, que la página de release lista encima de la x64. Desinstala usbip, vuelve a ejecutar el instalador cuyo nombre termina en -x64.exe y reinicia.	СЛОМАНО: файлы usbip установлены, но драйвер не зарегистрирован — шаг установщика с драйвером (devnode.exe) не удался. Обычная причина — загрузка -arm64, которую страница релиза показывает выше x64. Удалите usbip, снова запустите установщик с именем на -x64.exe и перезагрузите.	ΧΑΛΑΣΜΕΝΟ: τα αρχεία του usbip είναι εγκατεστημένα αλλά ο οδηγός του δεν είναι δηλωμένος — απέτυχε το βήμα οδηγού του εγκαταστάτη (devnode.exe). Συνήθης αιτία είναι η λήψη -arm64, που η σελίδα εκδόσεων εμφανίζει πάνω από την x64. Απεγκαταστήστε το usbip, τρέξτε ξανά τον εγκαταστάτη που τελειώνει σε -x64.exe και επανεκκινήστε.	已损坏：usbip 的文件已安装，但驱动没有注册 — 安装程序的驱动步骤 (devnode.exe) 失败了。常见原因是下载了 -arm64 版，发布页把它列在 x64 之上。请卸载 usbip，运行名称以 -x64.exe 结尾的安装程序，然后重启。	已損壞：usbip 的檔案已安裝，但驅動程式沒有註冊 — 安裝程式的驅動程式步驟 (devnode.exe) 失敗了。常見原因是下載了 -arm64 版，發佈頁把它列在 x64 之上。請解除安裝 usbip，執行名稱以 -x64.exe 結尾的安裝程式，然後重新啟動。	GUASTO: i file di usbip sono installati ma il driver non è registrato — il passo driver dell'installer (devnode.exe) è fallito. La causa abituale è il download -arm64, che la pagina di release elenca sopra quello x64. Disinstalla usbip, riesegui l'installer il cui nome finisce in -x64.exe e riavvia.	QUEBRADO: os arquivos do usbip estão instalados, mas o driver não está registrado — a etapa de driver do instalador (devnode.exe) falhou. A causa comum é o download -arm64, que a página de release lista acima do x64. Desinstale o usbip, execute de novo o instalador cujo nome termina em -x64.exe e reinicie.	壊れています: usbip のファイルはありますがドライバーが登録されていません — インストーラーのドライバー手順 (devnode.exe) が失敗しました。よくある原因は -arm64 版のダウンロードで、リリースページでは x64 版の上に並んでいます。usbip をアンインストールし、名前が -x64.exe で終わるインストーラーを実行して再起動してください。	USZKODZONE: pliki usbip są zainstalowane, ale sterownik nie jest zarejestrowany — krok sterownika instalatora (devnode.exe) nie powiódł się. Zwykła przyczyna to pobranie -arm64, które strona wydań pokazuje nad x64. Odinstaluj usbip, uruchom ponownie instalator o nazwie kończącej się na -x64.exe i zrestartuj.
UNSUPPORTED VERSION: usbip {0} is installed, ClawTweaks needs {1}. Older versions crash the device with a blue screen while the virtual controller is running, so ClawTweaks will not start it. Run the ClawTweaks setup, or install {1} from the link on this page, and reboot.	NICHT UNTERSTÜTZTE VERSION: usbip {0} ist installiert, ClawTweaks braucht {1}. Ältere Versionen stürzen mit Bluescreen ab, solange der virtuelle Controller läuft, deshalb startet ClawTweaks ihn nicht. Führe das ClawTweaks-Setup aus oder installiere {1} über den Link auf dieser Seite, und starte neu.	VERSION NON PRISE EN CHARGE : usbip {0} est installé, ClawTweaks a besoin de {1}. Les versions plus anciennes plantent l'appareil en écran bleu pendant que la manette virtuelle tourne, donc ClawTweaks ne la démarre pas. Lancez l'installation ClawTweaks, ou installez {1} via le lien sur cette page, puis redémarrez.	지원되지 않는 버전: usbip {0}이(가) 설치되어 있지만 ClawTweaks에는 {1}이(가) 필요합니다. 이전 버전은 가상 컨트롤러 실행 중 블루스크린을 일으키므로 ClawTweaks가 시작하지 않습니다. ClawTweaks 설치 프로그램을 실행하거나 이 페이지의 링크에서 {1}을(를) 설치한 뒤 재부팅하세요.	VERSIÓN NO COMPATIBLE: usbip {0} está instalado y ClawTweaks necesita {1}. Las versiones anteriores dan pantalla azul mientras corre el mando virtual, así que ClawTweaks no lo iniciará. Ejecuta el instalador de ClawTweaks o instala {1} desde el enlace de esta página y reinicia.	НЕПОДДЕРЖИВАЕМАЯ ВЕРСИЯ: установлен usbip {0}, ClawTweaks нужен {1}. Старые версии роняют устройство в синий экран при работе виртуального контроллера, поэтому ClawTweaks его не запустит. Запустите установщик ClawTweaks или установите {1} по ссылке на этой странице и перезагрузите.	ΜΗ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗ ΕΚΔΟΣΗ: είναι εγκατεστημένο το usbip {0}, το ClawTweaks χρειάζεται {1}. Οι παλιότερες εκδόσεις ρίχνουν τη συσκευή σε μπλε οθόνη όσο τρέχει το εικονικό χειριστήριο, οπότε το ClawTweaks δεν θα το ξεκινήσει. Τρέξτε το setup του ClawTweaks ή εγκαταστήστε το {1} από τον σύνδεσμο σε αυτή τη σελίδα και επανεκκινήστε.	不支持的版本：已安装 usbip {0}，ClawTweaks 需要 {1}。更旧的版本会在虚拟手柄运行时让设备蓝屏，所以 ClawTweaks 不会启动它。请运行 ClawTweaks 安装程序，或从本页链接安装 {1}，然后重启。	不支援的版本：已安裝 usbip {0}，ClawTweaks 需要 {1}。更舊的版本會在虛擬控制器執行時讓裝置藍幕，所以 ClawTweaks 不會啟動它。請執行 ClawTweaks 安裝程式，或從本頁連結安裝 {1}，然後重新啟動。	VERSIONE NON SUPPORTATA: è installato usbip {0}, ClawTweaks richiede {1}. Le versioni più vecchie mandano il dispositivo in schermata blu mentre il controller virtuale è attivo, quindi ClawTweaks non lo avvierà. Esegui il setup di ClawTweaks, oppure installa {1} dal link in questa pagina, e riavvia.	VERSÃO NÃO SUPORTADA: o usbip {0} está instalado, o ClawTweaks precisa de {1}. Versões mais antigas travam o dispositivo com tela azul enquanto o controle virtual roda, então o ClawTweaks não o iniciará. Execute o setup do ClawTweaks ou instale {1} pelo link nesta página e reinicie.	非対応バージョン: usbip {0} が入っていますが、ClawTweaks には {1} が必要です。古いバージョンは仮想コントローラーの動作中にブルースクリーンを起こすため、ClawTweaks は起動しません。ClawTweaks のセットアップを実行するか、このページのリンクから {1} を入れて再起動してください。	NIEOBSŁUGIWANA WERSJA: zainstalowano usbip {0}, ClawTweaks wymaga {1}. Starsze wersje powodują niebieski ekran, gdy działa wirtualny kontroler, więc ClawTweaks go nie uruchomi. Uruchom instalator ClawTweaks lub zainstaluj {1} z linku na tej stronie i zrestartuj.
UNSUPPORTED VERSION: usbip {0} is installed, ClawTweaks needs {1}. Uninstall usbip, install {1} from the link on this page, and reboot.	NICHT UNTERSTÜTZTE VERSION: usbip {0} ist installiert, ClawTweaks braucht {1}. usbip deinstallieren, {1} über den Link auf dieser Seite installieren und neu starten.	VERSION NON PRISE EN CHARGE : usbip {0} est installé, ClawTweaks a besoin de {1}. Désinstallez usbip, installez {1} via le lien sur cette page, puis redémarrez.	지원되지 않는 버전: usbip {0}이(가) 설치되어 있지만 ClawTweaks에는 {1}이(가) 필요합니다. usbip을 제거하고 이 페이지의 링크에서 {1}을(를) 설치한 뒤 재부팅하세요.	VERSIÓN NO COMPATIBLE: usbip {0} está instalado y ClawTweaks necesita {1}. Desinstala usbip, instala {1} desde el enlace de esta página y reinicia.	НЕПОДДЕРЖИВАЕМАЯ ВЕРСИЯ: установлен usbip {0}, ClawTweaks нужен {1}. Удалите usbip, установите {1} по ссылке на этой странице и перезагрузите.	ΜΗ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗ ΕΚΔΟΣΗ: είναι εγκατεστημένο το usbip {0}, το ClawTweaks χρειάζεται {1}. Απεγκαταστήστε το usbip, εγκαταστήστε το {1} από τον σύνδεσμο σε αυτή τη σελίδα και επανεκκινήστε.	不支持的版本：已安装 usbip {0}，ClawTweaks 需要 {1}。请卸载 usbip，从本页链接安装 {1}，然后重启。	不支援的版本：已安裝 usbip {0}，ClawTweaks 需要 {1}。請解除安裝 usbip，從本頁連結安裝 {1}，然後重新啟動。	VERSIONE NON SUPPORTATA: è installato usbip {0}, ClawTweaks richiede {1}. Disinstalla usbip, installa {1} dal link in questa pagina e riavvia.	VERSÃO NÃO SUPORTADA: o usbip {0} está instalado, o ClawTweaks precisa de {1}. Desinstale o usbip, instale {1} pelo link nesta página e reinicie.	非対応バージョン: usbip {0} が入っていますが、ClawTweaks には {1} が必要です。usbip をアンインストールし、このページのリンクから {1} を入れて再起動してください。	NIEOBSŁUGIWANA WERSJA: zainstalowano usbip {0}, ClawTweaks wymaga {1}. Odinstaluj usbip, zainstaluj {1} z linku na tej stronie i zrestartuj.
Update		Mise à jour	업데이트	Actualizar	Обновить	Ενημέρωση	更新	更新	Aggiorna	Atualizar	更新	Aktualizuj
{0} MHz					{0} МГц							
{0} Hz					{0} Гц							
{0} fps (Intel)												
{0} fps (RTSS)												
Aggressive	Aggressiv	Agressif	적극	Agresivo	Агрессивный	Επιθετικό	激进	積極	Aggressivo	Agressivo	アグレッシブ	Agresywny
Efficient Enabled	Effizient aktiviert	Efficace activé	효율적 사용	Eficiente activado	Эффективный вкл.	Αποδοτικό ενεργό	高效 启用	高效 啟用	Efficiente attivo	Eficiente ativado	効率重視 有効	Wydajny włączony
Efficient Aggressive	Effizient aggressiv	Efficace agressif	효율적 적극	Eficiente agresivo	Эффективный агрессивный	Αποδοτικό επιθετικό	高效 激进	高效 積極	Efficiente aggressivo	Eficiente agressivo	効率重視 アグレッシブ	Wydajny agresywny
Aggressive At Guaranteed	Aggressiv bei Garantie	Agressif au garanti	보장 시 적극	Agresivo en garantizado	Агрессивный на гарантированной	Επιθετικό στο εγγυημένο	保证值下激进	保證值下積極	Aggressivo al garantito	Agressivo no garantido	保証値でアグレッシブ	Agresywny przy gwarantowanym
Efficient Aggressive At Guaranteed	Effizient aggressiv bei Garantie	Efficace agressif au garanti	보장 시 효율적 적극	Eficiente agresivo en garantizado	Эффективный агрессивный на гарантированной	Αποδοτικό επιθετικό στο εγγυημένο	高效 保证值下激进	高效 保證值下積極	Efficiente aggressivo al garantito	Eficiente agressivo no garantido	効率重視 保証値でアグレッシブ	Wydajny agresywny przy gwarantowanym
Mode {0}	Modus {0}		모드 {0}	Modo {0}	Режим {0}	Λειτουργία {0}	模式 {0}	模式 {0}	Modalità {0}	Modo {0}	モード {0}	Tryb {0}
LS Click	LS-Klick	Clic LS	LS 클릭	Clic LS	Нажатие LS	Κλικ LS	LS 按下	LS 按下	Clic LS	Clique LS	LS 押し込み	Klik LS
LS Up	LS hoch	LS haut	LS 위	LS arriba	LS вверх	LS πάνω	LS 上	LS 上	LS su	LS cima	LS 上	LS góra
LS Down	LS runter	LS bas	LS 아래	LS abajo	LS вниз	LS κάτω	LS 下	LS 下	LS giù	LS baixo	LS 下	LS dół
LS Left	LS links	LS gauche	LS 왼쪽	LS izquierda	LS влево	LS αριστερά	LS 左	LS 左	LS sinistra	LS esquerda	LS 左	LS lewo
LS Right	LS rechts	LS droite	LS 오른쪽	LS derecha	LS вправо	LS δεξιά	LS 右	LS 右	LS destra	LS direita	LS 右	LS prawo
RS Click	RS-Klick	Clic RS	RS 클릭	Clic RS	Нажатие RS	Κλικ RS	RS 按下	RS 按下	Clic RS	Clique RS	RS 押し込み	Klik RS
RS Up	RS hoch	RS haut	RS 위	RS arriba	RS вверх	RS πάνω	RS 上	RS 上	RS su	RS cima	RS 上	RS góra
RS Down	RS runter	RS bas	RS 아래	RS abajo	RS вниз	RS κάτω	RS 下	RS 下	RS giù	RS baixo	RS 下	RS dół
RS Left	RS links	RS gauche	RS 왼쪽	RS izquierda	RS влево	RS αριστερά	RS 左	RS 左	RS sinistra	RS esquerda	RS 左	RS lewo
RS Right	RS rechts	RS droite	RS 오른쪽	RS derecha	RS вправо	RS δεξιά	RS 右	RS 右	RS destra	RS direita	RS 右	RS prawo
D-Pad Up	Kreuz hoch	Croix haut	십자키 위	Cruz arriba	D-pad вверх	Σταυρός πάνω	方向键 上	方向鍵 上	Croce su	D-pad cima	十字キー 上	D-pad góra
D-Pad Down	Kreuz runter	Croix bas	십자키 아래	Cruz abajo	D-pad вниз	Σταυρός κάτω	方向键 下	方向鍵 下	Croce giù	D-pad baixo	十字キー 下	D-pad dół
D-Pad Left	Kreuz links	Croix gauche	십자키 왼쪽	Cruz izquierda	D-pad влево	Σταυρός αριστερά	方向键 左	方向鍵 左	Croce sinistra	D-pad esquerda	十字キー 左	D-pad lewo
D-Pad Right	Kreuz rechts	Croix droite	십자키 오른쪽	Cruz derecha	D-pad вправо	Σταυρός δεξιά	方向键 右	方向鍵 右	Croce destra	D-pad direita	十字キー 右	D-pad prawo
Xbox Button	Xbox-Taste	Bouton Xbox	Xbox 버튼	Botón Xbox	Кнопка Xbox	Πλήκτρο Xbox	Xbox 键	Xbox 鍵	Tasto Xbox	Botão Xbox	Xbox ボタン	Przycisk Xbox
Action {0}	Aktion {0}		동작 {0}	Acción {0}	Действие {0}	Ενέργεια {0}	动作 {0}	動作 {0}	Azione {0}	Ação {0}	動作 {0}	Akcja {0}
Downloads		Téléchargements	다운로드	Descargas	Загрузки	Λήψεις	下载	下載	Download		ダウンロード	Pobrane
Desktop		Bureau	바탕 화면	Escritorio	Рабочий стол		桌面	桌面			デスクトップ	Pulpit
Pictures	Bilder	Images	사진	Imágenes	Изображения	Εικόνες	图片	圖片	Immagini	Imagens	ピクチャ	Obrazy
No release notes.	Keine Release Notes.	Aucune note de version.	릴리스 노트가 없습니다.	Sin notas de la versión.	Заметок к релизу нет.	Καμία σημείωση έκδοσης.	没有发布说明。	沒有發行說明。	Nessuna nota di rilascio.	Sem notas de release.	リリースノートはありません。	Brak informacji o wydaniu.
